key,count
00:00 - 00:59,171007
01:00 - 01:59,124579
02:00 - 02:59,98839
03:00 - 03:59,82613
04:00 - 04:59,71998
05:00 - 05:59,49850
06:00 - 06:59,51082
07:00 - 07:59,74947
09:00 - 08:59,121545
09:00 - 09:59,132718
10:00 - 10:59,132127
11:00 - 11:59,136551
12:00 - 12:59,192799
13:00 - 13:59,163070
14:00 - 14:59,183559
15:00 - 15:59,206757
16:00 - 16:59,197401
17:00 - 17:59,200678
18:00 - 18:59,209405
19:00 - 19:59,205125
20:00 - 20:59,204597
21:00 - 21:59,186624
22:00 - 22:59,178272
23:00 - 23:59,166112
